#{"t_start": 1708279090.3978662, "env_id": "MinAtar/Freeway-v1"}
r,l,t
0.0,2501,4.472514
0.0,2501,8.932076
0.0,2501,13.984945
0.0,2501,18.360195
0.0,2501,23.461694
0.0,2501,27.944035
0.0,2501,32.970538
5.0,2501,37.391731
2.0,2501,41.799548
2.0,2501,46.809457
0.0,2501,51.234606
4.0,2501,56.260233
0.0,2501,60.65354
3.0,2501,65.685529
3.0,2501,70.118398
2.0,2501,75.157798
4.0,2501,79.688153
7.0,2501,84.192408
6.0,2501,89.516044
8.0,2501,94.031085
6.0,2501,99.040922
9.0,2501,103.42129
6.0,2501,108.579031
7.0,2501,113.080148
1.0,2501,118.120295
2.0,2501,122.709087
4.0,2501,127.522837
6.0,2501,132.898667
6.0,2501,137.526336
4.0,2501,142.650261
6.0,2501,147.251045
6.0,2501,152.336289
7.0,2501,156.741346
5.0,2501,161.853878
3.0,2501,166.302771
9.0,2501,170.835715
2.0,2501,175.845598
6.0,2501,180.293612
5.0,2501,185.343837
0.0,2501,189.769595
2.0,2501,194.84009
7.0,2501,199.295621
0.0,2501,204.377495
3.0,2501,208.82105
8.0,2501,213.251534
5.0,2501,218.357553
5.0,2501,222.874482
3.0,2501,227.958888
1.0,2501,232.407687
8.0,2501,237.521727
9.0,2501,241.880787
8.0,2501,247.018505
5.0,2501,251.477626
6.0,2501,255.998545
3.0,2501,261.01781
2.0,2501,265.465686
6.0,2501,270.522372
1.0,2501,274.952472
2.0,2501,279.973811
0.0,2501,284.406489
1.0,2501,288.9087
6.0,2501,293.995913
0.0,2501,298.447703
9.0,2501,303.608465
12.0,2501,308.082624
11.0,2501,313.107573
6.0,2501,317.493414
8.0,2501,322.50944
12.0,2501,326.950924
3.0,2501,331.374632
14.0,2501,336.418406
8.0,2501,340.843496
7.0,2501,345.938027
7.0,2501,350.369189
16.0,2501,355.494668
15.0,2501,360.105844
13.0,2501,365.128973
15.0,2501,369.631452
18.0,2501,374.063282
23.0,2501,379.148465
16.0,2501,383.705972
13.0,2501,388.791544
11.0,2501,393.310185
14.0,2501,398.358224
16.0,2501,402.885287
11.0,2501,408.044958
14.0,2501,412.4642
16.0,2501,416.942142
18.0,2501,421.993371
10.0,2501,426.579072
20.0,2501,431.651558
10.0,2501,436.046039
8.0,2501,441.126695
13.0,2501,445.565731
7.0,2501,450.656816
9.0,2501,455.082741
3.0,2501,459.513553
16.0,2501,464.542616
17.0,2501,468.978087
25.0,2501,474.076491
13.0,2501,478.511056
15.0,2501,483.624833
15.0,2501,488.117977
12.0,2501,493.176174
19.0,2501,497.590567
16.0,2501,502.095367
19.0,2501,507.174609
18.0,2501,511.637548
5.0,2501,516.979021
16.0,2501,521.514364
17.0,2501,527.267352
17.0,2501,531.755653
16.0,2501,536.15093
20.0,2501,541.1501
12.0,2501,545.77886
13.0,2501,551.049719
18.0,2501,555.930825
15.0,2501,561.023998
20.0,2501,565.475008
21.0,2501,571.055541
24.0,2501,575.812094
19.0,2501,580.223195
15.0,2501,585.527609
19.0,2501,590.058559
28.0,2501,595.421515
21.0,2501,600.155874
18.0,2501,606.205636
31.0,2501,610.793853
26.0,2501,616.377969
23.0,2501,621.113621
29.0,2501,625.794309
26.0,2501,631.087016
26.0,2501,635.390709
23.0,2501,640.435435
21.0,2501,644.823576
28.0,2501,649.816694
25.0,2501,654.21382
20.0,2501,659.267622
11.0,2501,663.53285
23.0,2501,667.894831
26.0,2501,672.932028
23.0,2501,677.598316
